Emission/nm,smiles1,solvent,smiles2,y
718,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC=C(C(C)(C)C)C=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC=C(C(C)(C)C)C=C8)=C6C9=CC=C(OC)C=C9,toluene,CC1=CC=CC=C1,0.718
816,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11,toluene,CC1=CC=CC=C1,0.816
816,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11,toluene,CC1=CC=CC=C1,0.816
807,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=CC(C(C)(C)C)=C3)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC=C(C(C)(C)C)C=C9%10)=C7C%11=C%10C=C(OC)C=C%11,toluene,CC1=CC=CC=C1,0.807
551,O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C=C1)N(CC=C)C4=O,toluene,CC1=CC=CC=C1,0.551
632,O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C(NC=C)=C1)N(CC=C)C4=O,toluene,CC1=CC=CC=C1,0.632
387,C12=CC=CC3=C1C(C(C=C2)=CC=C4C5=CC=NC=C5)=C4C=C3,toluene,CC1=CC=CC=C1,0.387
403,C12=CC=CC3=C1C(C(C=C2)=CC(C4=CC=NC=C4)=C5)=C5C=C3,toluene,CC1=CC=CC=C1,0.403
401,C12=CC=CC3=C1C(C(C=C2)=CC(C4=NC=CC=C4)=C5)=C5C=C3,toluene,CC1=CC=CC=C1,0.401
379,C12=CC=CC3=C1C(C(C(C4=CC=NC=C4)=C2)=CC=C5)=C5C=C3,toluene,CC1=CC=CC=C1,0.379
399,C12=C(C3=CC=NC=C3)C=CC4=C1C(C(C=C2)=CC=C5C6=CC=NC=C6)=C5C=C4,toluene,CC1=CC=CC=C1,0.399
417,C12=CC(C3=CC=NC=C3)=CC4=C1C(C(C=C2)=CC(C5=CC=NC=C5)=C6)=C6C=C4,toluene,CC1=CC=CC=C1,0.417
419,C12=CC(C3=NC=CC=C3)=CC4=C1C(C(C=C2)=CC(C5=CC=CC=N5)=C6)=C6C=C4,toluene,CC1=CC=CC=C1,0.419
382,C12=CC=CC3=C1C(C(C(C4=CC=NC=C4)=C2)=CC=C5)=C5C=C3C6=CC=NC=C6,toluene,CC1=CC=CC=C1,0.382
382,C12=CC=CC3=C1C(C(C(C4=CC=NC=C4)=C2)=CC=C5)=C5C(C6=CC=NC=C6)=C3,toluene,CC1=CC=CC=C1,0.382
415,CCCCC1=C(C=C2)C3=C(C(C4=CC=NC=C4)=C1)C=CC5=C3C2=C(C6=CC=NC=C6)C=C5CCCC,toluene,CC1=CC=CC=C1,0.415
827,F[B-]1(F)N2C(C3=CC=C(C#CC4=CC=C(N(C)C)C=C4)C=C3)=CC(C5=CC=CC=C5)=C2N=C6C(C7=CC=CC=C7)=CC(C8=CC=C(C#CC9=CC=C(N(C)C)C=C9)C=C8)=[N+]16,toluene,CC1=CC=CC=C1,0.827
453,C1(C2=CC=C(N3C4=C(C5=C3C=CC=C5)C=CC=C4)C=C2)=NC6=C(C=CC=C6)N=C1C7=CC=C(N8C9=C(C%10=C8C=CC=C%10)C=CC=C9)C=C7,toluene,CC1=CC=CC=C1,0.453
522,CC(C1=C2C=CC=C1)(C)C3=C(C=CC=C3)N2C(C=C4)=CC=C4C5=NC6=C(C=CC=C6)N=C5C7=CC=C(N8C(C=CC=C9)=C9C(C)(C)C%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.522
583,CC(C1=C2C=CC=C1)(C)C3=C(C=CC=C3)N2C(C=C4)=CC=C4C5=NC6=C(C=NC=C6)N=C5C7=CC=C(N8C(C=CC=C9)=C9C(C)(C)C%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.583
578,CC(C1=C2C=CC=C1)(C)C3=C(C=CC=C3)N2C(C=C4)=CC=C4C5=NC6=C(C=CC=N6)N=C5C7=CC=C(N8C(C=CC=C9)=C9C(C)(C)C%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.578
615,C1(C2=CC=C(N3C(C=CC=C4)=C4OC5=C3C=CC=C5)C=C2)=NC6=C(C=NC=C6)N=C1C7=CC=C(N8C(C=CC=C9)=C9OC%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.615
620,C1(C2=CC=C(N3C(C=CC=C4)=C4OC5=C3C=CC=C5)C=C2)=NC6=C(C=CC=N6)N=C1C7=CC=C(N8C(C=CC=C9)=C9OC%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.62
546,O=C(C1=C2C(C3=CC(OC4=C(C5=CC=CC=C5)C=CC=C4C6=CC=CC=C6)=C27)=C(C8=C9C3=CC(OC%10=C(C%11=CC=CC=C%11)C=CC=C%10C%12=CC=CC=C%12)=C%13C9=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C(OC%14=C(C%15=CC=CC=C%15)C=CC=C%14C%16=CC=CC=C%16)=C8)C=C1OC%17=C(C%18=CC=CC=C%18)C=CC=C%17C%19=CC=CC=C%19)N(C(CCCCC)CCCCC)C7=O,toluene,CC1=CC=CC=C1,0.546
542,O=C(C1=C2C(C3=CC=C24)=C(C5=C6C3=CC=C7C6=C(C(N(C(CC)CC)C7=O)=O)C=C5)C=C1)N(C(CC)CC)C4=O,toluene,CC1=CC=CC=C1,0.542
475,O=C(N(C)C)C(C=C1)=C2C3=C1C4=C(C(OCC)=O)N(CN5C6=C7C(C8=CC=C(C(N(C)C)=O)C9=C(C(N(C)C)=O)C=CC7=C89)=C5C(OCC)=O)C6=C4C3=CC=C2C(N(C)C)=O,toluene,CC1=CC=CC=C1,0.475
470,O=C(N(C)C)C(C=C1)=C2C3=C1C4=C(C(OCC)=O)N5C(C6=C7C(C8=CC=C(C(N(C)C)=O)C9=C(C(N(C)C)=O)C=CC7=C89)=C(C(OCC)=O)N6CC5)=C4C3=CC=C2C(N(C)C)=O,toluene,CC1=CC=CC=C1,0.47
456,O=C(N(C)C)C(C=C1)=C2C3=C1C4=C(C(OCC)=O)N5C(C6=C7C(C8=CC=C(C(N(C)C)=O)C9=C(C(N(C)C)=O)C=CC7=C89)=C(C(OCC)=O)N6CCC5)=C4C3=CC=C2C(N(C)C)=O,toluene,CC1=CC=CC=C1,0.456
540,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C(C=C3)=C4C5=C3C6=C(C(OCC)=O)N(CN7C8=C9C(C%10=CC=C(C(N(C%11=C(C(C)C)C=CC=C%11C(C)C)C%12=O)=O)C%13=C%12C=CC9=C%10%13)=C7C(OCC)=O)C8=C6C5=CC=C4C1=O,toluene,CC1=CC=CC=C1,0.54
540,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C(C=C3)=C4C5=C3C6=C(C(OCC)=O)N7C(C8=C9C(C%10=CC=C(C(N(C%11=C(C(C)C)C=CC=C%11C(C)C)C%12=O)=O)C%13=C%12C=CC9=C%10%13)=C(C(OCC)=O)N8CC7)=C6C5=CC=C4C1=O,toluene,CC1=CC=CC=C1,0.54
520,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C(C=C3)=C4C5=C3C6=C(C(OCC)=O)N7C(C8=C9C(C%10=CC=C(C(N(C%11=C(C(C)C)C=CC=C%11C(C)C)C%12=O)=O)C%13=C%12C=CC9=C%10%13)=C(C(OCC)=O)N8CCC7)=C6C5=CC=C4C1=O,toluene,CC1=CC=CC=C1,0.52
650,O=C(N(C)C)C(C=C1)=C2C3=C1C4=C(C3=CC=C2C(N(C)C)=O)C5=C6N(C(C7=C6C8=C9C7=CC=C(C(N(C)C)=O)C9=C(C(N(C)C)=O)C=C8)=O)CN5C4=O,toluene,CC1=CC=CC=C1,0.65
750,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C(C=C3)=C4C5=C3C6=C(C5=CC=C4C1=O)C7=C8N(C(C9=C8C%10=C%11C9=CC=C(C(N(C%12=C(C(C)C)C=CC=C%12C(C)C)C%13=O)=O)C%11=C%13C=C%10)=O)CN7C6=O,toluene,CC1=CC=CC=C1,0.75
426,OC1=C(C2=NC=C(C3=CC=CC=C3)O2)C=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C1,toluene,CC1=CC=CC=C1,0.426
525,O=C1/C(C=C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C=C1)=C5NC=C(C6=CC=CC=C6)O\5,toluene,CC1=CC=CC=C1,0.525
397,OC1=C(C2=NC3=C(C=CC=C3)O2)C=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C1,toluene,CC1=CC=CC=C1,0.397
533,O=C1/C(C=C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C=C1)=C5NC6=C(C=CC=C6)O\5,toluene,CC1=CC=CC=C1,0.533
419,OC1=C(C2=NC=C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)O2)C=CC(C)=C1,toluene,CC1=CC=CC=C1,0.419
421,OC1=C(C2=NC=C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)O2)C=C(C7=CC=CC=C7)C=C1,toluene,CC1=CC=CC=C1,0.421
423,OC1=C(C2=NC=C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)O2)C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C1C,toluene,CC1=CC=CC=C1,0.423
546,O=C1C(C)=CC(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C/C1=C5OC(C6=CC=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C6)=CN\5,toluene,CC1=CC=CC=C1,0.546
449,OC1=C(C2=NC=C(C3=C(C)C=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)O2)C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C1,toluene,CC1=CC=CC=C1,0.449
564,O=C1C=CC(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C/C1=C5OC(C6=C(C)C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C6)=CN\5,toluene,CC1=CC=CC=C1,0.564
588,O=[N+](C1=CC=C(C=C1)C=CC2=CC=C(N(C)C)C=C2)[O-],toluene,CC1=CC=CC=C1,0.588
537,C1(C(C=CC=C2)=C2C3=C4N=C(C5=CC=C(C6=CC=CC=C6)C7=NSN=C57)N3C8=CC=CC=C8)=C4C=CC=C1,toluene,CC1=CC=CC=C1,0.537
538,CC(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8,toluene,CC1=CC=CC=C1,0.538
549,COC(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8,toluene,CC1=CC=CC=C1,0.549
549,CCOC(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8,toluene,CC1=CC=CC=C1,0.549
541,FC(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8,toluene,CC1=CC=CC=C1,0.541
550,FC(C(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8)(F)F,toluene,CC1=CC=CC=C1,0.55
386,FC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.386
405,ClC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.405
405,BrC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.405
408,IC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.408
552,C1(C2=CC=CC3=NSN=C23)=CC=C(/C=C/N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,toluene,CC1=CC=CC=C1,0.552
426,N#CC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.426
432,O=C(C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)OC,toluene,CC1=CC=CC=C1,0.432
440,CC(C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)=O,toluene,CC1=CC=CC=C1,0.44
450,O=CC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.45
525,O=[N+](C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)[O-],toluene,CC1=CC=CC=C1,0.525
585,O=[N+](C1=CC=CC(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)=C1)[O-],toluene,CC1=CC=CC=C1,0.585
460,O=[N+](C1=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1)[O-],toluene,CC1=CC=CC=C1,0.46
575,COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)/C=C/C3=CC=C([N+]([O-])=O)C=C3,toluene,CC1=CC=CC=C1,0.575
494,O=[N+](C1=CC=C(/C=C/N(C2=CC=CC=C2O3)C4=C3C=CC=C4)C=C1)[O-],toluene,CC1=CC=CC=C1,0.494
562,C/C(C1=CC=C([N+]([O-])=O)C=C1)=C\N(C2=CC=CC=C2)C3=CC=CC=C3,toluene,CC1=CC=CC=C1,0.562
550,O=[N+](C1=CC=C(C2=CC=C(/C=C/N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C=C1)[O-],toluene,CC1=CC=CC=C1,0.55
414,O=C(CC)C1=CC=C(C=C(N(C)C)C=C2)C2=C1,toluene,CC1=CC=CC=C1,0.414
403,CN(C)C1=CC2=CC=C(C#C)C=C2C=C1,toluene,CC1=CC=CC=C1,0.403
504,CN(C)C1=CC2=CC=C(C(C#CC3=NN(C(C)C)C4=C3C(N)=NC=N4)=O)C=C2C=C1,toluene,CC1=CC=CC=C1,0.504
432,CN(C)C1=CC2=CC=C(C(CCC3=NN(C(C)C)C4=C3C(N)=NC=N4)=O)C=C2C=C1,toluene,CC1=CC=CC=C1,0.432
413,CN(C)C1=CC2=CC=C(C#CC3=NN(C(C)C)C4=C3C(N)=NC=N4)C=C2C=C1,toluene,CC1=CC=CC=C1,0.413
437,CN(C)C1=CC2=CC=C(/C=C/C3=NN(C(C)C)C4=C3C(N)=NC=N4)C=C2C=C1,toluene,CC1=CC=CC=C1,0.437
404,CN(C)C1=CC2=CC=C(CCC3=NN(C(C)C)C4=C3C(N)=NC=N4)C=C2C=C1,toluene,CC1=CC=CC=C1,0.404
580,CCN(CC)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)S3,toluene,CC1=CC=CC=C1,0.58
585,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCCCC4)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.585
574,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCOCC4)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.574
577,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.577
577,O=[N+](C1=CC=C(C2=C(C3=CC=C(C4=CC=CC=C4)C=C3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.577
560,O=[N+](C1=CC=C(C2=C(C3=CC4=C(C=CC=C4)C=C3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.56
671,CN(C)C1=CC=C(C=C1)C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,toluene,CC1=CC=CC=C1,0.671
556,O=[N+](C1=CC=C(C2=C(C(C3=CC=CC=C3)C4=CC=CC=C4)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.556
550,CN(C)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)O3,toluene,CC1=CC=CC=C1,0.55
511,O=CC1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1,toluene,CC1=CC=CC=C1,0.511
584,N#C/C(C#N)=C/C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1,toluene,CC1=CC=CC=C1,0.584
628,O=C(N(CC)C(N1CC)=S)/C(C1=O)=C\C2=CC=C(C3=C(C4=CC=CC=C4)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S3)S2,toluene,CC1=CC=CC=C1,0.628
555,O=C1C2=C(C3=CC=C(C4=NC(C5=CC=CC=C5)=C(C6=CC=CC=C6)N4C7=CC=CC=C7)C=C3)N(CC(CC)CCCC)C(C2=C(C8=CC=C(C9=NC(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)N9C)C=C8)N1CC(CC)CCCC)=O,toluene,CC1=CC=CC=C1,0.555
565,O=C1C2=C(C3=CC=C(C4=NC(C5=CC=CC=C5C6=C7C=CC=C6)=C7N4C8=CC=CC=C8)C=C3)N(CC(CC)CCCC)C(C2=C(C9=CC=C(C%10=NC(C%11=CC=CC=C%11%12)=C(C%13=C%12C=CC=C%13)N%10C)C=C9)N1CC(CC)CCCC)=O,toluene,CC1=CC=CC=C1,0.565
509,N#C/C(C1=CC=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)=C\C=C\C4=CC=CC=C4,toluene,CC1=CC=CC=C1,0.509
565,N#C/C(C1=CC=C(N(C2=CC=CC=C2C3)C4=C3C=CC=C4)C=C1)=C\C=C\C5=CC=CC=C5,toluene,CC1=CC=CC=C1,0.565
468,C1(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=CC=C([P+](C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7)C=C1,toluene,CC1=CC=CC=C1,0.468
550,C1(C2=CC=C(C=C2)N(C3=CC=CC=C34)C5=C4C=CC=C5)=CC=C(C=C1)[P+](C6=CC=CC=C6)(C7=CC=CC=C7)C8=CC=CC=C8,Toluene,CC1=CC=CC=C1,0.55
541,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=CC=C6,toluene,CC1=CC=CC=C1,0.541
549,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=C(Cl)C=C6,toluene,CC1=CC=CC=C1,0.549
548,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=C(Br)C=C6,toluene,CC1=CC=CC=C1,0.548
534,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=C(OC)C=C6,toluene,CC1=CC=CC=C1,0.534
560,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=C(C(OCC)=O)C=C6,toluene,CC1=CC=CC=C1,0.56
413,CCCCN1C2=C(C=C(C3=CC=C(C=O)C=C3)C=C2)C4=C1C=CC(C5=CC=C(C=O)C=C5)=C4,Toluene,CC1=CC=CC=C1,0.413
449,CCCCN(C1=C(C2(C)C)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,Toluene,CC1=CC=CC=C1,0.449
494,CCCCN(C1=C(O2)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,Toluene,CC1=CC=CC=C1,0.494
436,CCCCN(C1=C(S2)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,Toluene,CC1=CC=CC=C1,0.436
561,O=C(OCC)C1=CC(N2CCC2)=C(C(OCC)=O)C=C1N3CCC3,Toluene,CC1=CC=CC=C1,0.561
450,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC=C4)=C4S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.45
450,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(Br)=C4)=C4S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.45
457,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=CC=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.457
459,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=C(C(F)(F)F)C=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.459
459,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=C(C#N)C=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.459
459,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=C(OC)C=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.459
523,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=C(N(C)C)C=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.523
462,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=CS4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.462
525,O=[N+](C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)[O-],Toluene,CC1=CC=CC=C1,0.525
501,BrC1=CN(C(C=C1)=N/2)[B-](OC)(OC)[N+]2=C(C)\C,toluene,CC1=CC=CC=C1,0.501
500,F[B-]1(F)N2C=C(Br)C=CC2=N/[N+]1=C(C)\C,toluene,CC1=CC=CC=C1,0.5
528,O=[N+](C(C=C1)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3)[O-],Toluene,CC1=CC=CC=C1,0.528
554,N#C/C(C#N)=C/C(C=C1)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3,Toluene,CC1=CC=CC=C1,0.554
551,O=[N+](C(C=C1C#N)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3)[O-],Toluene,CC1=CC=CC=C1,0.551
400,COC(C=C1)=CC=C1/C=C/C2=NC3=CC=CC=C3C=C2,toluene,CC1=CC=CC=C1,0.4
