Absorption/nm,smiles1,solvent,smiles2,y
409,CC(C1=C2C=CC=C1)(C)C3=C(C=CC=C3)N2C(C=C4)=CC=C4C5=NC6=C(C=CC=N6)N=C5C7=CC=C(N8C(C=CC=C9)=C9C(C)(C)C%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.409
437,C1(C2=CC=C(N3C(C=CC=C4)=C4OC5=C3C=CC=C5)C=C2)=NC6=C(C=NC=C6)N=C1C7=CC=C(N8C(C=CC=C9)=C9OC%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.437
438,C1(C2=CC=C(N3C(C=CC=C4)=C4OC5=C3C=CC=C5)C=C2)=NC6=C(C=CC=N6)N=C1C7=CC=C(N8C(C=CC=C9)=C9OC%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.438
535,O=C(C1=C2C(C3=CC(OC4=C(C5=CC=CC=C5)C=CC=C4C6=CC=CC=C6)=C27)=C(C8=C9C3=CC(OC%10=C(C%11=CC=CC=C%11)C=CC=C%10C%12=CC=CC=C%12)=C%13C9=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C(OC%14=C(C%15=CC=CC=C%15)C=CC=C%14C%16=CC=CC=C%16)=C8)C=C1OC%17=C(C%18=CC=CC=C%18)C=CC=C%17C%19=CC=CC=C%19)N(C(CCCCC)CCCCC)C7=O,toluene,CC1=CC=CC=C1,0.535
525,O=C(C1=C2C(C3=CC=C24)=C(C5=C6C3=CC=C7C6=C(C(N(C(CC)CC)C7=O)=O)C=C5)C=C1)N(C(CC)CC)C4=O,toluene,CC1=CC=CC=C1,0.525
460,O=C(N(C)C)C(C=C1)=C2C3=C1C4=C(C(OCC)=O)N(CN5C6=C7C(C8=CC=C(C(N(C)C)=O)C9=C(C(N(C)C)=O)C=CC7=C89)=C5C(OCC)=O)C6=C4C3=CC=C2C(N(C)C)=O,toluene,CC1=CC=CC=C1,0.46
435,O=C(N(C)C)C(C=C1)=C2C3=C1C4=C(C(OCC)=O)N5C(C6=C7C(C8=CC=C(C(N(C)C)=O)C9=C(C(N(C)C)=O)C=CC7=C89)=C(C(OCC)=O)N6CC5)=C4C3=CC=C2C(N(C)C)=O,toluene,CC1=CC=CC=C1,0.435
431,O=C(N(C)C)C(C=C1)=C2C3=C1C4=C(C(OCC)=O)N5C(C6=C7C(C8=CC=C(C(N(C)C)=O)C9=C(C(N(C)C)=O)C=CC7=C89)=C(C(OCC)=O)N6CCC5)=C4C3=CC=C2C(N(C)C)=O,toluene,CC1=CC=CC=C1,0.431
527,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C(C=C3)=C4C5=C3C6=C(C(OCC)=O)N(CN7C8=C9C(C%10=CC=C(C(N(C%11=C(C(C)C)C=CC=C%11C(C)C)C%12=O)=O)C%13=C%12C=CC9=C%10%13)=C7C(OCC)=O)C8=C6C5=CC=C4C1=O,toluene,CC1=CC=CC=C1,0.527
512,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C(C=C3)=C4C5=C3C6=C(C(OCC)=O)N7C(C8=C9C(C%10=CC=C(C(N(C%11=C(C(C)C)C=CC=C%11C(C)C)C%12=O)=O)C%13=C%12C=CC9=C%10%13)=C(C(OCC)=O)N8CC7)=C6C5=CC=C4C1=O,toluene,CC1=CC=CC=C1,0.512
489,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C(C=C3)=C4C5=C3C6=C(C(OCC)=O)N7C(C8=C9C(C%10=CC=C(C(N(C%11=C(C(C)C)C=CC=C%11C(C)C)C%12=O)=O)C%13=C%12C=CC9=C%10%13)=C(C(OCC)=O)N8CCC7)=C6C5=CC=C4C1=O,toluene,CC1=CC=CC=C1,0.489
617,O=C(N(C)C)C(C=C1)=C2C3=C1C4=C(C3=CC=C2C(N(C)C)=O)C5=C6N(C(C7=C6C8=C9C7=CC=C(C(N(C)C)=O)C9=C(C(N(C)C)=O)C=C8)=O)CN5C4=O,toluene,CC1=CC=CC=C1,0.617
688,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C(C=C3)=C4C5=C3C6=C(C5=CC=C4C1=O)C7=C8N(C(C9=C8C%10=C%11C9=CC=C(C(N(C%12=C(C(C)C)C=CC=C%12C(C)C)C%13=O)=O)C%11=C%13C=C%10)=O)CN7C6=O,toluene,CC1=CC=CC=C1,0.688
315,OC1=C(C2=NC=C(C3=CC=CC=C3)O2)C=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C1,toluene,CC1=CC=CC=C1,0.315
315,O=C1/C(C=C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C=C1)=C5NC=C(C6=CC=CC=C6)O\5,toluene,CC1=CC=CC=C1,0.315
320,OC1=C(C2=NC3=C(C=CC=C3)O2)C=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C1,toluene,CC1=CC=CC=C1,0.32
320,O=C1/C(C=C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C=C1)=C5NC6=C(C=CC=C6)O\5,toluene,CC1=CC=CC=C1,0.32
366,OC1=C(C2=NC=C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)O2)C=CC(C)=C1,toluene,CC1=CC=CC=C1,0.366
368,OC1=C(C2=NC=C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)O2)C=C(C7=CC=CC=C7)C=C1,toluene,CC1=CC=CC=C1,0.368
310,OC1=C(C2=NC=C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)O2)C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C1C,toluene,CC1=CC=CC=C1,0.31
378,O=C1C(C)=CC(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C/C1=C5OC(C6=CC=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C6)=CN\5,toluene,CC1=CC=CC=C1,0.378
309,OC1=C(C2=NC=C(C3=C(C)C=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)O2)C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C1,toluene,CC1=CC=CC=C1,0.309
370,O=C1C=CC(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C/C1=C5OC(C6=C(C)C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C6)=CN\5,toluene,CC1=CC=CC=C1,0.37
432,O=[N+](C1=CC=C(C=C1)C=CC2=CC=C(N(C)C)C=C2)[O-],toluene,CC1=CC=CC=C1,0.432
414,C1(C(C=CC=C2)=C2C3=C4N=C(C5=CC=C(C6=CC=CC=C6)C7=NSN=C57)N3C8=CC=CC=C8)=C4C=CC=C1,toluene,CC1=CC=CC=C1,0.414
413,CC(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8,toluene,CC1=CC=CC=C1,0.413
419,COC(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8,toluene,CC1=CC=CC=C1,0.419
417,CCOC(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8,toluene,CC1=CC=CC=C1,0.417
416,FC(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8,toluene,CC1=CC=CC=C1,0.416
420,FC(C(C=C1)=CC=C1C(C2=NSN=C32)=CC=C3C4=NC5=C(N4C6=CC=CC=C6)C7=C(C=CC=C7)C8=C5C=CC=C8)(F)F,toluene,CC1=CC=CC=C1,0.42
332,FC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.332
345,ClC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.345
347,BrC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.347
349,IC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.349
426,C1(C2=CC=CC3=NSN=C23)=CC=C(/C=C/N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,toluene,CC1=CC=CC=C1,0.426
370,N#CC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.37
370,O=C(C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)OC,toluene,CC1=CC=CC=C1,0.37
380,CC(C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)=O,toluene,CC1=CC=CC=C1,0.38
392,O=CC1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1,toluene,CC1=CC=CC=C1,0.392
424,O=[N+](C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)[O-],toluene,CC1=CC=CC=C1,0.424
341,O=[N+](C1=CC=CC(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)=C1)[O-],toluene,CC1=CC=CC=C1,0.341
412,O=[N+](C1=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1)[O-],toluene,CC1=CC=CC=C1,0.412
445,COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)/C=C/C3=CC=C([N+]([O-])=O)C=C3,toluene,CC1=CC=CC=C1,0.445
431,O=[N+](C1=CC=C(/C=C/N(C2=CC=CC=C2O3)C4=C3C=CC=C4)C=C1)[O-],toluene,CC1=CC=CC=C1,0.431
425,C/C(C1=CC=C([N+]([O-])=O)C=C1)=C\N(C2=CC=CC=C2)C3=CC=CC=C3,toluene,CC1=CC=CC=C1,0.425
413,O=[N+](C1=CC=C(C2=CC=C(/C=C/N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C=C1)[O-],toluene,CC1=CC=CC=C1,0.413
350,O=C(CC)C1=CC=C(C=C(N(C)C)C=C2)C2=C1,toluene,CC1=CC=CC=C1,0.35
325,CN(C)C1=CC2=CC=C(C#C)C=C2C=C1,toluene,CC1=CC=CC=C1,0.325
422,CN(C)C1=CC2=CC=C(C(C#CC3=NN(C(C)C)C4=C3C(N)=NC=N4)=O)C=C2C=C1,toluene,CC1=CC=CC=C1,0.422
360,CN(C)C1=CC2=CC=C(C(CCC3=NN(C(C)C)C4=C3C(N)=NC=N4)=O)C=C2C=C1,toluene,CC1=CC=CC=C1,0.36
349,CN(C)C1=CC2=CC=C(C#CC3=NN(C(C)C)C4=C3C(N)=NC=N4)C=C2C=C1,toluene,CC1=CC=CC=C1,0.349
367,CN(C)C1=CC2=CC=C(/C=C/C3=NN(C(C)C)C4=C3C(N)=NC=N4)C=C2C=C1,toluene,CC1=CC=CC=C1,0.367
359,CN(C)C1=CC2=CC=C(CCC3=NN(C(C)C)C4=C3C(N)=NC=N4)C=C2C=C1,toluene,CC1=CC=CC=C1,0.359
474,CCN(CC)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)S3,toluene,CC1=CC=CC=C1,0.474
471,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCCCC4)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.471
457,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCOCC4)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.457
457,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.457
460,O=[N+](C1=CC=C(C2=C(C3=CC=C(C4=CC=CC=C4)C=C3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.46
460,O=[N+](C1=CC=C(C2=C(C3=CC4=C(C=CC=C4)C=C3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.46
491,CN(C)C1=CC=C(C=C1)C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,toluene,CC1=CC=CC=C1,0.491
452,O=[N+](C1=CC=C(C2=C(C(C3=CC=CC=C3)C4=CC=CC=C4)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],toluene,CC1=CC=CC=C1,0.452
457,CN(C)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)O3,toluene,CC1=CC=CC=C1,0.457
412,O=CC1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1,toluene,CC1=CC=CC=C1,0.412
499,N#C/C(C#N)=C/C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1,toluene,CC1=CC=CC=C1,0.499
560,O=C(N(CC)C(N1CC)=S)/C(C1=O)=C\C2=CC=C(C3=C(C4=CC=CC=C4)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S3)S2,toluene,CC1=CC=CC=C1,0.56
500,O=C1C2=C(C3=CC=C(C4=NC(C5=CC=CC=C5)=C(C6=CC=CC=C6)N4C7=CC=CC=C7)C=C3)N(CC(CC)CCCC)C(C2=C(C8=CC=C(C9=NC(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)N9C)C=C8)N1CC(CC)CCCC)=O,toluene,CC1=CC=CC=C1,0.5
510,O=C1C2=C(C3=CC=C(C4=NC(C5=CC=CC=C5C6=C7C=CC=C6)=C7N4C8=CC=CC=C8)C=C3)N(CC(CC)CCCC)C(C2=C(C9=CC=C(C%10=NC(C%11=CC=CC=C%11%12)=C(C%13=C%12C=CC=C%13)N%10C)C=C9)N1CC(CC)CCCC)=O,toluene,CC1=CC=CC=C1,0.51
469,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=CC=C6,toluene,CC1=CC=CC=C1,0.469
473,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=C(Cl)C=C6,toluene,CC1=CC=CC=C1,0.473
476,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=C(Br)C=C6,toluene,CC1=CC=CC=C1,0.476
467,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=C(OC)C=C6,toluene,CC1=CC=CC=C1,0.467
486,CC1(C)C2=[N+]([B-](F)(F)N3C(C4=C2C=C5N4CC=C5)=CC=C3)C6=C1C=C(C(OCC)=O)C=C6,toluene,CC1=CC=CC=C1,0.486
355,CCCCN1C2=C(C=C(C3=CC=C(C=O)C=C3)C=C2)C4=C1C=CC(C5=CC=C(C=O)C=C5)=C4,Toluene,CC1=CC=CC=C1,0.355
393,CCCCN(C1=C(C2(C)C)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,Toluene,CC1=CC=CC=C1,0.393
429,CCCCN(C1=C(O2)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,Toluene,CC1=CC=CC=C1,0.429
367,CCCCN(C1=C(S2)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,Toluene,CC1=CC=CC=C1,0.367
412,O=C(OCC)C1=CC(N2CCC2)=C(C(OCC)=O)C=C1N3CCC3,Toluene,CC1=CC=CC=C1,0.412
421,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC=C4)=C4S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.421
427,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(Br)=C4)=C4S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.427
430,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=CC=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.43
431,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=C(C(F)(F)F)C=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.431
434,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=C(C#N)C=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.434
431,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=C(OC)C=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.431
430,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=C(N(C)C)C=C4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.43
436,CN(C)C1=CC=C(C2=NC3=[N+](C(C=CC(C4=CC=CS4)=C5)=C5S3)[B-](F)(F)O2)C=C1,toluene,CC1=CC=CC=C1,0.436
424,O=[N+](C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)[O-],Toluene,CC1=CC=CC=C1,0.424
410,BrC1=CN(C(C=C1)=N/2)[B-](OC)(OC)[N+]2=C(C)\C,toluene,CC1=CC=CC=C1,0.41
406,F[B-]1(F)N2C=C(Br)C=CC2=N/[N+]1=C(C)\C,toluene,CC1=CC=CC=C1,0.406
415,O=[N+](C(C=C1)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3)[O-],Toluene,CC1=CC=CC=C1,0.415
449,N#C/C(C#N)=C/C(C=C1)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3,Toluene,CC1=CC=CC=C1,0.449
337,O=[N+](C(C=C1C#N)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3)[O-],Toluene,CC1=CC=CC=C1,0.337
463,CCN1C2=CC=CC=C2C3=C1C=CC(/C=C/C4=C(SC5=CC=CC=C5)/C(OC4(C)C)=C(C#N)\C#N)=C3,toluene,CC1=CC=CC=C1,0.463
498,CCN1C2=CC=CC=C2C3=C1C=CC(/C=C/C4=C(C#N)/C(OC4(C)C)=C(C#N)\C#N)=C3,toluene,CC1=CC=CC=C1,0.498
504,CC(C(/C=C/C1=CC=C(C=C1)N(C2=C3C=C(C(C)(C)C)C=C2)C4=C3C=C(C(C)(C)C)C=C4)=C/5S(C6=CC=CC=C6)(=O)=O)(C)OC5=C(C#N)\C#N,toluene,CC1=CC=CC=C1,0.504
462,CC(C(/C=C/C1=CC=C(C=C1)N(C2=C3C=C(C(C)(C)C)C=C2)C4=C3C=C(C(C)(C)C)C=C4)=C/5SC6=CC=CC=C6)(C)OC5=C(C#N)\C#N,toluene,CC1=CC=CC=C1,0.462
